,count,mean,std,min,25%,50%,75%,max
optimal_ev,724.0,3.37120165746,1.33765398905,-3.0,3.25,3.75,4.25,5.25
mse,724.0,266.931492689,270.019803196,8.80356350966,109.742149882,175.952205231,319.027467535,2056.07254233
perceptual,724.0,0.0571778015075,0.0299482810502,0.00367085938342,0.0386222386733,0.0534993018955,0.0700759086758,0.214152127504
ssim,724.0,0.960481677005,0.0200030188951,0.854531931425,0.95303501662,0.96455112397,0.973565345423,0.995330938331
