name,metric,ev1,ev2,score
15,0043_20160920_121346_158,ssim,0.0,2.0,0.8218339163865762
16,0043_20160920_121346_158,mse,0.0,4.0,134.213097299829
17,0043_20160920_121346_158,ssim,0.0,4.0,0.9800493755126589
18,0043_20160920_121346_158,mse,2.0,4.0,206.06582687971766
19,0043_20160920_121346_158,ssim,2.0,4.0,0.986963630200552
20,0043_20160920_121346_158,mse,-5.0,-2.5,13756.953887963055
21,0043_20160920_121346_158,ssim,-5.0,-2.5,0.041693524679738685
22,0043_20160920_121346_158,mse,-5.0,0.0,7385.0273393676
23,0043_20160920_121346_158,ssim,-5.0,0.0,0.3815955542688509
24,0043_20160920_121346_158,mse,-5.0,2.5,346.05826226186974
25,0043_20160920_121346_158,ssim,-5.0,2.5,0.9517944700839255
26,0043_20160920_121346_158,mse,-5.0,5.0,2499.51790129508
27,0043_20160920_121346_158,ssim,-5.0,5.0,0.7061371074417172
28,0043_20160920_121346_158,mse,-2.5,0.0,7944.714178348528
29,0043_20160920_121346_158,ssim,-2.5,0.0,0.3433809873614229
30,0043_20160920_121346_158,mse,-2.5,2.5,485.47636397303097
31,0043_20160920_121346_158,ssim,-2.5,2.5,0.9455191341848806
32,0043_20160920_121346_158,mse,-2.5,5.0,1521.760050757551
33,0043_20160920_121346_158,ssim,-2.5,5.0,0.780458234951095
34,0043_20160920_121346_158,mse,0.0,2.5,913.5090704615016
35,0043_20160920_121346_158,ssim,0.0,2.5,0.9148880656955093
36,0043_20160920_121346_158,mse,0.0,5.0,698.9590263481793
37,0043_20160920_121346_158,ssim,0.0,5.0,0.8966684579192797
38,0043_20160920_121346_158,mse,2.5,5.0,1342.480366848566
39,0043_20160920_121346_158,ssim,2.5,5.0,0.9181367355382825
40,0043_20160920_121346_158,mse,-6.0,-3.0,14402.204571447244
41,0043_20160920_121346_158,ssim,-6.0,-3.0,0.02495904544238749
42,0043_20160920_121346_158,mse,-6.0,0.0,7364.901518369658
43,0043_20160920_121346_158,ssim,-6.0,0.0,0.38289367039784644
44,0043_20160920_121346_158,mse,-6.0,3.0,121.35160223943187
45,0043_20160920_121346_158,ssim,-6.0,3.0,0.9658189321802374
46,0043_20160920_121346_158,mse,-6.0,6.0,3323.893978259212
47,0043_20160920_121346_158,ssim,-6.0,6.0,0.4253615831918957
48,0043_20160920_121346_158,mse,-3.0,0.0,7774.52717870797
49,0043_20160920_121346_158,ssim,-3.0,0.0,0.35551322507928
50,0043_20160920_121346_158,mse,-3.0,3.0,99.24085057020554
51,0043_20160920_121346_158,ssim,-3.0,3.0,0.9697715622064104
52,0043_20160920_121346_158,mse,-3.0,6.0,1660.7385713818906
53,0043_20160920_121346_158,ssim,-3.0,6.0,0.5418469041782296
54,0043_20160920_121346_158,mse,0.0,3.0,263.42656765676566
55,0043_20160920_121346_158,ssim,0.0,3.0,0.9684207652398148
56,0043_20160920_121346_158,mse,0.0,6.0,643.2966838763084
57,0043_20160920_121346_158,ssim,0.0,6.0,0.8026820591399496
58,0043_20160920_121346_158,mse,3.0,6.0,2077.9563958871136
59,0043_20160920_121346_158,ssim,3.0,6.0,0.874340709378139
name,metric,ev1,ev2,score
0,0089_20160701_142804_188,mse,-4.0,-2.0,9360.1809735429
1,0089_20160701_142804_188,ssim,-4.0,-2.0,0.039349613429563855
2,0089_20160701_142804_188,mse,-4.0,0.0,5678.585669705584
3,0089_20160701_142804_188,ssim,-4.0,0.0,0.2589007400241517
4,0089_20160701_142804_188,mse,-4.0,2.0,1177.1737111829996
5,0089_20160701_142804_188,ssim,-4.0,2.0,0.8061711720661084
6,0089_20160701_142804_188,mse,-4.0,4.0,415.55856179677374
7,0089_20160701_142804_188,ssim,-4.0,4.0,0.9331302075273497
8,0089_20160701_142804_188,mse,-2.0,0.0,6043.535015630276
9,0089_20160701_142804_188,ssim,-2.0,0.0,0.23044690392384193
10,0089_20160701_142804_188,mse,-2.0,2.0,1339.5345826661874
11,0089_20160701_142804_188,ssim,-2.0,2.0,0.7857566430282524
12,0089_20160701_142804_188,mse,-2.0,4.0,267.0360885098411
13,0089_20160701_142804_188,ssim,-2.0,4.0,0.9562136443094335
14,0089_20160701_142804_188,mse,0.0,2.0,1647.071324706728
15,0089_20160701_142804_188,ssim,0.0,2.0,0.738550254692185
16,0089_20160701_142804_188,mse,0.0,4.0,102.30212451938263
17,0089_20160701_142804_188,ssim,0.0,4.0,0.9830615687462911
18,0089_20160701_142804_188,mse,2.0,4.0,97.78358330882594
19,0089_20160701_142804_188,ssim,2.0,4.0,0.9899740699566665
20,0089_20160701_142804_188,mse,-5.0,-2.5,9863.792351512378
21,0089_20160701_142804_188,ssim,-5.0,-2.5,0.024590292015297333
22,0089_20160701_142804_188,mse,-5.0,0.0,5609.018543933601
23,0089_20160701_142804_188,ssim,-5.0,0.0,0.263717606872766
24,0089_20160701_142804_188,mse,-5.0,2.5,506.4619835745951
25,0089_20160701_142804_188,ssim,-5.0,2.5,0.9109017101348732
26,0089_20160701_142804_188,mse,-5.0,5.0,2202.937982659652
27,0089_20160701_142804_188,ssim,-5.0,5.0,0.7666611505176432
28,0089_20160701_142804_188,mse,-2.5,0.0,5939.871779999782
29,0089_20160701_142804_188,ssim,-2.5,0.0,0.2404923947038533
30,0089_20160701_142804_188,mse,-2.5,2.5,600.5378149201059
31,0089_20160701_142804_188,ssim,-2.5,2.5,0.9016716695589118
32,0089_20160701_142804_188,mse,-2.5,5.0,1815.8147948458213
33,0089_20160701_142804_188,ssim,-2.5,5.0,0.8053960605108991
34,0089_20160701_142804_188,mse,0.0,2.5,825.4166176518642
35,0089_20160701_142804_188,ssim,0.0,2.5,0.8668952885941001
36,0089_20160701_142804_188,mse,0.0,5.0,1260.5174928383929
37,0089_20160701_142804_188,ssim,0.0,5.0,0.8690565984281724
38,0089_20160701_142804_188,mse,2.5,5.0,1291.3294475487153
39,0089_20160701_142804_188,ssim,2.5,5.0,0.8908335324997827
40,0089_20160701_142804_188,mse,-6.0,-3.0,10293.079246043417
41,0089_20160701_142804_188,ssim,-6.0,-3.0,0.014646866187973132
42,0089_20160701_142804_188,mse,-6.0,0.0,5588.4234170941845
43,0089_20160701_142804_188,ssim,-6.0,0.0,0.2658674622660354
44,0089_20160701_142804_188,mse,-6.0,3.0,185.04944504351425
45,0089_20160701_142804_188,ssim,-6.0,3.0,0.9606896166756035
46,0089_20160701_142804_188,mse,-6.0,6.0,5518.380654402074
47,0089_20160701_142804_188,ssim,-6.0,6.0,0.5488189568481032
48,0089_20160701_142804_188,mse,-3.0,0.0,5836.2777995621345
49,0089_20160701_142804_188,ssim,-3.0,0.0,0.24868355589170021
50,0089_20160701_142804_188,mse,-3.0,3.0,211.81151630014486
51,0089_20160701_142804_188,ssim,-3.0,3.0,0.9613699980158369
52,0089_20160701_142804_188,mse,-3.0,6.0,4564.8889624110925
53,0089_20160701_142804_188,ssim,-3.0,6.0,0.5997364314241921
54,0089_20160701_142804_188,mse,0.0,3.0,294.38228005968915
55,0089_20160701_142804_188,ssim,0.0,3.0,0.9518795658738629
56,0089_20160701_142804_188,mse,0.0,6.0,3364.675225195787
57,0089_20160701_142804_188,ssim,0.0,6.0,0.7180800520103433
58,0089_20160701_142804_188,mse,3.0,6.0,3806.66459442974
59,0089_20160701_142804_188,ssim,3.0,6.0,0.7576328105355907
name,metric,ev1,ev2,score
0,0006_20160728_123257_859,mse,-4.0,-2.0,13965.533833828928
1,0006_20160728_123257_859,ssim,-4.0,-2.0,0.24331058022446328
2,0006_20160728_123257_859,mse,-4.0,0.0,5186.444106786917
3,0006_20160728_123257_859,ssim,-4.0,0.0,0.7159020965282288
4,0006_20160728_123257_859,mse,-4.0,2.0,151.32360389504296
5,0006_20160728_123257_859,ssim,-4.0,2.0,0.9733429854980332
6,0006_20160728_123257_859,mse,-4.0,4.0,3370.1381155442277
7,0006_20160728_123257_859,ssim,-4.0,4.0,0.6694546385639466
8,0006_20160728_123257_859,mse,-2.0,0.0,5984.523491705606
9,0006_20160728_123257_859,ssim,-2.0,0.0,0.6723677596163338
10,0006_20160728_123257_859,mse,-2.0,2.0,79.20180211090415
11,0006_20160728_123257_859,ssim,-2.0,2.0,0.9795932387128227
12,0006_20160728_123257_859,mse,-2.0,4.0,3385.5537147774185
13,0006_20160728_123257_859,ssim,-2.0,4.0,0.7630015607628872
14,0006_20160728_123257_859,mse,0.0,2.0,101.89245335424631
15,0006_20160728_123257_859,ssim,0.0,2.0,0.9804277053533417
16,0006_20160728_123257_859,mse,0.0,4.0,747.51503665218
17,0006_20160728_123257_859,ssim,0.0,4.0,0.9408242019669659
18,0006_20160728_123257_859,mse,2.0,4.0,1769.2010451045105
19,0006_20160728_123257_859,ssim,2.0,4.0,0.9520344552544874
20,0006_20160728_123257_859,mse,-5.0,-2.5,15432.868977986907
21,0006_20160728_123257_859,ssim,-5.0,-2.5,0.1763282134325339
22,0006_20160728_123257_859,mse,-5.0,0.0,4805.421470117309
23,0006_20160728_123257_859,ssim,-5.0,0.0,0.7356403632049644
24,0006_20160728_123257_859,mse,-5.0,2.5,789.0825000816914
25,0006_20160728_123257_859,ssim,-5.0,2.5,0.9244066782055618
26,0006_20160728_123257_859,mse,-5.0,5.0,9322.903547037871
27,0006_20160728_123257_859,ssim,-5.0,5.0,0.3462663118110838
28,0006_20160728_123257_859,mse,-2.5,0.0,5919.5221383524495
29,0006_20160728_123257_859,ssim,-2.5,0.0,0.6760614124168427
30,0006_20160728_123257_859,mse,-2.5,2.5,241.84593558365736
31,0006_20160728_123257_859,ssim,-2.5,2.5,0.9509582832514992
32,0006_20160728_123257_859,mse,-2.5,5.0,11408.680758422377
33,0006_20160728_123257_859,ssim,-2.5,5.0,0.3519747485468138
34,0006_20160728_123257_859,mse,0.0,2.5,156.81684802143582
35,0006_20160728_123257_859,ssim,0.0,2.5,0.9693126236213357
36,0006_20160728_123257_859,mse,0.0,5.0,3299.2726421156967
37,0006_20160728_123257_859,ssim,0.0,5.0,0.8136752590028581
38,0006_20160728_123257_859,mse,2.5,5.0,3001.2495752050454
39,0006_20160728_123257_859,ssim,2.5,5.0,0.8873471330564936
40,0006_20160728_123257_859,mse,-6.0,-3.0,16775.18372654097
41,0006_20160728_123257_859,ssim,-6.0,-3.0,0.12096206475280215
42,0006_20160728_123257_859,mse,-6.0,0.0,4556.951290178523
43,0006_20160728_123257_859,ssim,-6.0,0.0,0.7494419739548398
44,0006_20160728_123257_859,mse,-6.0,3.0,1074.4191174067903
45,0006_20160728_123257_859,ssim,-6.0,3.0,0.855149424962733
46,0006_20160728_123257_859,mse,-6.0,6.0,7502.565159733796
47,0006_20160728_123257_859,ssim,-6.0,6.0,0.3625736475975097
48,0006_20160728_123257_859,mse,-3.0,0.0,5720.678931259463
49,0006_20160728_123257_859,ssim,-3.0,0.0,0.687138445334095
50,0006_20160728_123257_859,mse,-3.0,3.0,237.44105697698484
51,0006_20160728_123257_859,ssim,-3.0,3.0,0.9045256963731815
52,0006_20160728_123257_859,mse,-3.0,6.0,14196.766316483134
53,0006_20160728_123257_859,ssim,-3.0,6.0,0.22349363713255058
54,0006_20160728_123257_859,mse,0.0,3.0,145.95345227592065
55,0006_20160728_123257_859,ssim,0.0,3.0,0.9557095082892705
56,0006_20160728_123257_859,mse,0.0,6.0,4030.6571686871657
57,0006_20160728_123257_859,ssim,0.0,6.0,0.7787136174778557
58,0006_20160728_123257_859,mse,3.0,6.0,5844.829063599429
59,0006_20160728_123257_859,ssim,3.0,6.0,0.7976210797696665
name,metric,ev1,ev2,score
0,0043_20160825_125822_548,mse,-4.0,-2.0,13728.087357993225
1,0043_20160825_125822_548,ssim,-4.0,-2.0,0.22246809158860717
2,0043_20160825_125822_548,mse,-4.0,0.0,5415.701461730331
3,0043_20160825_125822_548,ssim,-4.0,0.0,0.6578529284996554
4,0043_20160825_125822_548,mse,-4.0,2.0,279.88553409796424
5,0043_20160825_125822_548,ssim,-4.0,2.0,0.9575433559364462
6,0043_20160825_125822_548,mse,-4.0,4.0,699.3300874641919
7,0043_20160825_125822_548,ssim,-4.0,4.0,0.8767577048561601
8,0043_20160825_125822_548,mse,-2.0,0.0,6324.906120315002
9,0043_20160825_125822_548,ssim,-2.0,0.0,0.6034958122089517
10,0043_20160825_125822_548,mse,-2.0,2.0,411.21995664913027
11,0043_20160825_125822_548,ssim,-2.0,2.0,0.9530058679372698
12,0043_20160825_125822_548,mse,-2.0,4.0,867.7795504798005
13,0043_20160825_125822_548,ssim,-2.0,4.0,0.9097594031486532
14,0043_20160825_125822_548,mse,0.0,2.0,468.10928667124136
