name,mse_-3.5,ssim_-3.5,ms_ssim_-3.5,mse_3.5,ssim_3.5,ms_ssim_3.5,mse_7.0,ssim_7.0,ms_ssim_7.0,mse_-7.0,ssim_-7.0,ms_ssim_-7.0,mse_4.0,ssim_4.0,ms_ssim_4.0,mse_-4.0,ssim_-4.0,ms_ssim_-4.0,mse_-2.0,ssim_-2.0,ms_ssim_-2.0,mse_2.0,ssim_2.0,ms_ssim_2.0,mse_-3.0,ssim_-3.0,ms_ssim_-3.0,mse_6.0,ssim_6.0,ms_ssim_6.0,mse_-6.0,ssim_-6.0,ms_ssim_-6.0,mse_3.0,ssim_3.0,ms_ssim_3.0,mse_5.0,ssim_5.0,ms_ssim_5.0,mse_-5.0,ssim_-5.0,ms_ssim_-5.0,mse_-2.5,ssim_-2.5,ms_ssim_-2.5,mse_2.5,ssim_2.5,ms_ssim_2.5
0030_20151217_215717_243,5.151980076334439e-05,0.9999973177909851,0.9999991059303284,5.1233502745162696e-05,0.9999973177909851,0.9999991059303284,8.49341377033852e-05,0.9999976754188538,0.9999983906745911,5.144214810570702e-05,0.9999973177909851,0.9999991059303284,5.109894118504599e-05,0.9999973177909851,0.9999991059303284,8.122863800963387e-05,0.9999977946281433,0.9999985098838806,0.00014576577814295888,0.9999966621398926,0.9999971985816956,5.141037763678469e-05,0.9999973177909851,0.9999991059303284,5.1296723540872335e-05,0.9999973177909851,0.9999991059303284,9.19575322768651e-05,0.9999976754188538,0.9999982714653015,5.151856385054998e-05,0.9999973177909851,0.9999991059303284,5.150205106474459e-05,0.9999973177909851,0.9999991059303284,0.00013660504191648215,0.9999971389770508,0.9999973773956299,5.20220746693667e-05,0.9999974370002747,0.9999991059303284,5.1206785428803414e-05,0.9999973177909851,0.9999991059303284,5.147068077349104e-05,0.9999973177909851,0.9999991059303284
0009_20160702_183851_839,0.00015698937932029366,0.9999987483024597,0.9999971985816956,0.0002042899577645585,0.9999949336051941,0.9999969005584717,0.00018973322585225105,0.9999960064888,0.9999971389770508,0.00019274641817901284,0.9999958872795105,0.9999971389770508,0.00017456745263189077,0.999997079372406,0.9999967217445374,0.0001956404885277152,0.9999956488609314,0.9999971389770508,0.00017601015861146152,0.999998152256012,0.9999969601631165,0.00019325269386172295,0.999995768070221,0.9999971389770508,0.0001939509529620409,0.9999957084655762,0.9999971389770508,0.0001863890211097896,0.9999969601631165,0.9999971389770508,0.00015834464284125715,0.9999985694885254,0.9999971389770508,0.00019281163986306638,0.9999958872795105,0.9999971389770508,0.00019669742323458195,0.9999957084655762,0.999997079372406,0.0002143069141311571,0.9999973177909851,0.999995768070221,0.0001929505233420059,0.999995768070221,0.9999971389770508,0.0001874562876764685,0.9999975562095642,0.9999969601631165
0244_20151010_130641_720,0.0012157624587416649,0.9999100565910339,0.9999750256538391,0.0012310945894569159,0.9999071955680847,0.9999749660491943,0.0011629982618615031,0.999907910823822,0.9999778866767883,0.0011687569785863161,0.9999093413352966,0.9999763369560242,0.0011932977940887213,0.9999096393585205,0.9999753832817078,0.001179591636173427,0.999906599521637,0.9999771118164062,0.001110263168811798,0.999920129776001,0.9999764561653137,0.0012357314117252827,0.9998834729194641,0.9999787211418152,0.001212618313729763,0.9999099373817444,0.9999750256538391,0.0011591422371566296,0.9999077916145325,0.9999784827232361,0.0011618336429819465,0.9999122023582458,0.9999757409095764,0.0012083032634109259,0.9999077916145325,0.9999757409095764,0.0011884531704708934,0.999907910823822,0.9999763369560242,0.0012061909073963761,0.9999098777770996,0.9999752044677734,0.0011151263024657965,0.9999080300331116,0.9999803900718689,0.0010968541027978063,0.9999208450317383,0.9999771118164062
4WBR_20150501_182815_157,0.0001448096300009638,0.9999997615814209,0.9999971985816956,0.00012495370174292475,0.9999997615814209,0.9999976754188538,0.0001278956769965589,0.999999463558197,0.9999976754188538,0.0001150544048869051,0.9999998211860657,0.9999979138374329,0.00019601473468355834,0.999998152256012,0.9999961853027344,0.00010558604844845831,0.9999998211860657,0.9999980926513672,0.00011190785153303295,0.9999998211860657,0.9999979138374329,0.00014029981684871018,0.9999997615814209,0.9999973177909851,0.00013062567450106144,0.9999997019767761,0.9999975562095642,0.00010832450789166614,0.9999998211860657,0.9999980330467224,0.00014425715198740363,0.9999995827674866,0.9999971985816956,0.00011463007831480354,0.9999998211860657,0.9999979138374329,0.00011372735752956942,0.9999998211860657,0.9999979138374329,0.00015110116510186344,0.9999993443489075,0.999997079372406,0.00013779978326056153,0.9999997019767761,0.9999973773956299,0.0001196273005916737,0.9999998211860657,0.9999977946281433
synthetic_lines_day,0.0008123217266984284,0.9999611973762512,0.9999943375587463,0.002354114782065153,0.9996753334999084,0.9999602437019348,0.002327337861061096,0.9996786713600159,0.9999604225158691,0.0004943216335959733,0.9999870657920837,0.9999987483024597,0.0006152988644316792,0.9999772906303406,0.9999973177909851,0.002404487458989024,0.9996697306632996,0.9999591708183289,0.002622605999931693,0.9996359944343567,0.9999547004699707,0.0005535709788091481,0.9999920725822449,0.9999977946281433,0.0008302703499794006,0.9999601244926453,0.9999940395355225,0.002471400424838066,0.9996617436408997,0.999957799911499,0.0023609113413840532,0.9996744990348816,0.9999601244926453,0.0004964607651345432,0.9999876618385315,0.9999989867210388,0.002408253028988838,0.9996709227561951,0.9999586939811707,0.0006626956164836884,0.9999731183052063,0.9999964833259583,0.0023747391533106565,0.9996727108955383,0.9999597668647766,0.0004978009383194149,0.9999924302101135,0.9999983310699463
0043_20160825_160617_398,8.813341264612973e-05,0.9999992251396179,0.9999987483024597,0.00010233138164039701,0.9999990463256836,0.9999985694885254,8.809867722447962e-05,0.9999992251396179,0.9999987483024597,8.649779192637652e-05,0.9999992847442627,0.9999985694885254,8.63485038280487e-05,0.9999992847442627,0.9999986290931702,8.856895874487236e-05,0.9999992251396179,0.9999987483024597,8.816519402898848e-05,0.9999992251396179,0.9999987483024597,8.273245475720614e-05,0.9999992847442627,0.9999985694885254,8.824333781376481e-05,0.9999992251396179,0.9999986290931702,7.727694173809141e-05,0.999999463558197,0.9999986290931702,8.787636033957824e-05,0.9999992251396179,0.9999987483024597,8.813723979983479e-05,0.9999992251396179,0.9999986290931702,8.816325862426311e-05,0.9999992251396179,0.9999985694885254,0.00013992156891617924,0.9999985098838806,0.9999974370002747,8.814714237814769e-05,0.9999992251396179,0.9999987483024597,9.947276703314856e-05,0.9999991059303284,0.9999985694885254
0272_20151215_235321_128,3.8419449992943555e-05,0.9999999403953552,0.9999993443489075,3.9080514397937804e-05,0.9999999403953552,0.9999993443489075,6.289901648415253e-05,0.9999997615814209,0.9999988079071045,3.851485234918073e-05,0.9999999403953552,0.9999993443489075,6.10345923632849e-05,0.9999997615814209,0.9999988675117493,3.783964712056331e-05,0.9999999403953552,0.9999993443489075,0.00010624555579852313,0.9999990463256836,0.9999980330467224,3.822558937827125e-05,0.9999999403953552,0.9999993443489075,6.356935045914724e-05,0.9999997615814209,0.9999988079071045,3.8055524782976136e-05,0.9999999403953552,0.9999993443489075,3.911936073563993e-05,0.9999999403953552,0.9999993443489075,3.8386475353036076e-05,0.9999999403953552,0.9999993443489075,7.369201193796471e-05,0.9999997615814209,0.9999985694885254,4.005120717920363e-05,0.9999999403953552,0.9999993443489075,3.833163282251917e-05,0.9999999403953552,0.9999993443489075,4.045728928758763e-05,0.9999999403953552,0.9999993443489075
0244_20151010_145139_465,0.0006200936040841043,0.9999697804450989,0.9999879002571106,0.0006538988091051579,0.9999702572822571,0.9999868869781494,0.000616550853010267,0.9999721050262451,0.999987781047821,0.0007278034463524818,0.9999703764915466,0.9999856948852539,0.0005111073842272162,0.9999721050262451,0.9999898076057434,0.0007323261816054583,0.999966561794281,0.9999861717224121,0.000672375550493598,0.9999739527702332,0.9999865889549255,0.0006237709312699735,0.9999704957008362,0.9999876022338867,0.0005865429411642253,0.9999702572822571,0.9999883770942688,0.0005973918596282601,0.9999732971191406,0.9999882578849792,0.0006491980166174471,0.9999703764915466,0.9999869465827942,0.0007514031603932381,0.9999668002128601,0.9999854564666748,0.000604830973315984,0.9999743103981018,0.9999880194664001,0.0005212970427237451,0.9999726414680481,0.9999896883964539,0.0007934971363283694,0.9999585151672363,0.9999849200248718,0.0006405258318409324,0.9999706149101257,0.9999871253967285
0382_20150919_124947_577,0.0004963118699379265,0.9999720454216003,0.9999900460243225,0.0006633526063524187,0.9999746680259705,0.9999869465827942,0.0005294307484291494,0.999973714351654,0.9999895095825195,0.0005260737962089479,0.9999732971191406,0.9999895691871643,0.00044008539407514036,0.9999713897705078,0.9999911189079285,0.0008862292743287981,0.9999567866325378,0.9999831318855286,0.0005030643078498542,0.9999728798866272,0.9999899864196777,0.0006216024048626423,0.999975860118866,0.9999880194664001,0.0005424413247965276,0.9999744296073914,0.9999892711639404,0.0004851631529163569,0.9999726414680481,0.9999902844429016,0.0007178619271144271,0.9999749660491943,0.9999859929084778,0.0005229343078099191,0.9999732375144958,0.9999896883964539,0.0005651877145282924,0.9999754428863525,0.9999889731407166,0.0005161914159543812,0.9999732375144958,0.9999898076057434,0.0008207606733776629,0.9999638199806213,0.9999842643737793,0.00045409382437355816,0.9999722838401794,0.9999908804893494
0089_20160701_175557_524,0.0003076669527217746,0.9999911189079285,0.9999948143959045,0.00028950200066901743,0.9999918937683105,0.999995231628418,0.00030776913627050817,0.9999911189079285,0.9999948143959045,0.00026835111202672124,0.9999943375587463,0.9999949336051941,0.00026751216500997543,0.9999938011169434,0.999995231628418,0.0002860497043002397,0.9999908804893494,0.9999955296516418,0.00030188620439730585,0.9999911785125732,0.9999950528144836,0.0001763058826327324,0.9999968409538269,0.9999968409538269,0.0002954097872134298,0.9999911785125732,0.999995231628418,0.0002213288244092837,0.9999954700469971,0.9999957084655762,0.00030645629158243537,0.9999911189079285,0.9999948143959045,0.000306868547340855,0.9999911189079285,0.9999949336051941,0.0002857637591660023,0.999992847442627,0.9999949932098389,0.0006382335559464991,0.9999670386314392,0.9999876022338867,0.0003052288666367531,0.9999911189079285,0.9999949336051941,0.000261063250945881,0.9999926686286926,0.9999959468841553
